web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751755-535,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4349193"""
"1752751755-536,""https://sn.coinafrique.com/categorie/chiens?page=4"",""140 000CFA"",""Chiots Berger Malinois"",""Almadies, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-4347191"""
"1752751755-537,""https://sn.coinafrique.com/categorie/chiens?page=4"",""225 000CFA"",""Chiot Malinois"",""Rufisque, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4347159"""
"1752751755-538,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiots"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-4344699"""
"1752751755-539,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chien  Berger"",""Almadies, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-4344463"""
"1752751755-540,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Pitbull"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4332159"""
"1752751755-541,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot  Caniche"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4330813"""
"1752751755-542,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4330247"""
"1752751755-543,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Pitbull"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4327552"""
"1752751755-544,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiots  Boerbull"",""Biscuiterie, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-boerbull-4324260"""
"1752751755-545,""https://sn.coinafrique.com/categorie/chiens?page=4"",""225 000CFA"",""Chiots  Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4318517"""
"1752751755-546,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot berger allemand"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4315123"""
"1752751755-547,""https://sn.coinafrique.com/categorie/chiens?page=4"",""180 000CFA"",""Chiots berger allemand"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4315045"""
"1752751755-548,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4314748"""
"1752751755-549,""https://sn.coinafrique.com/categorie/chiens?page=4"",""200 000CFA"",""Chiot Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4312162"""
"1752751755-550,""https://sn.coinafrique.com/categorie/chiens?page=4"",""200 000CFA"",""Chiot  Bichon nain"",""Almadies, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-nain-4311860"""
"1752751755-551,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4307889"""
"1752751755-552,""https://sn.coinafrique.com/categorie/chiens?page=4"",""400 000CFA"",""Chiot Cane Corso"",""Pikine, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-4300394"""
"1752751755-553,""https://sn.coinafrique.com/categorie/chiens?page=4"",""200 000CFA"",""Chiot  Berger Allemand"",""Saint Louis, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4296542"""
"1752751755-554,""https://sn.coinafrique.com/categorie/chiens?page=4"",""350 000CFA"",""Chiots Cane Corso"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4295604"""
"1752751755-555,""https://sn.coinafrique.com/categorie/chiens?page=4"",""850 000CFA"",""Chiots  Akita japonaise"",""Fann, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-akita-japonaise-4294289"""
"1752751755-556,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiens Malinois"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-4290173"""
"1752751755-557,""https://sn.coinafrique.com/categorie/chiens?page=4"",""650 000CFA"",""Chiots Labradors"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-labradors-4287921"""
"1752751755-558,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiots Husky's"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-huskys-4284697"""
"1752751755-559,""https://sn.coinafrique.com/categorie/chiens?page=4"",""350 000CFA"",""Chiots Cane Corso"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4283254"""
"1752751755-560,""https://sn.coinafrique.com/categorie/chiens?page=4"",""180 000CFA"",""Chiot croisé Husky / Berger Allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-croise-husky-berger-allemand-4280738"""
"1752751755-561,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Bichons"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4277694"""
"1752751755-562,""https://sn.coinafrique.com/categorie/chiens?page=4"",""260 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4277563"""
"1752751755-563,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiot Bichon"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4268527"""
"1752751755-564,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4268216"""
"1752751755-565,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chien Berger Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4266819"""
"1752751755-566,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chien berger Allemand"",""Mamelles, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4263673"""
"1752751755-567,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiots Malinois"",""Saly, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4260253"""
"1752751755-568,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Labrador"",""Mbao, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-4257284"""
"1752751755-569,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiot  Malinois"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4255782"""
"1752751755-570,""https://sn.coinafrique.com/categorie/chiens?page=4"",""650 000CFA"",""Chiots  Bergers australien"",""Saly, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-australien-4242936"""
"1752751755-571,""https://sn.coinafrique.com/categorie/chiens?page=4"",""350 000CFA"",""Chien  Rottweiler"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-4242529"""
"1752751755-572,""https://sn.coinafrique.com/categorie/chiens?page=4"",""Prix sur demande"",""Chiot Pitbull"",""HLM, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4240673"""
"1752751755-573,""https://sn.coinafrique.com/categorie/chiens?page=4"",""220 000CFA"",""Chiots malinois"",""Keur Massar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4235508"""
"1752751755-574,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chien"",""Thies, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-4227862"""
"1752751755-575,""https://sn.coinafrique.com/categorie/chiens?page=4"",""100 000CFA"",""Chiots Pitbull"",""Ouest Foire, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4226576"""
"1752751755-576,""https://sn.coinafrique.com/categorie/chiens?page=4"",""350 000CFA"",""Chien Berger allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4221634"""
"1752751755-577,""https://sn.coinafrique.com/categorie/chiens?page=4"",""190 000CFA"",""Chiot Bichon Maltais"",""Cambérène, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4220294"""
"1752751755-578,""https://sn.coinafrique.com/categorie/chiens?page=4"",""125 000CFA"",""Chiots Berger Allemand"",""Almadies, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4220216"""
"1752751755-579,""https://sn.coinafrique.com/categorie/chiens?page=4"",""190 000CFA"",""Chiots Pitbulls"",""Ouakam, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbulls-4219520"""
"1752751755-580,""https://sn.coinafrique.com/categorie/chiens?page=4"",""130 000CFA"",""Chiots Pitbull"",""Ouest Foire, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-4219240"""
"1752751755-581,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chien-4216138"""
"1752751755-582,""https://sn.coinafrique.com/categorie/chiens?page=4"",""175 000CFA"",""Chiots berger allemand"",""Thies, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4209184"""
"1752751755-583,""https://sn.coinafrique.com/categorie/chiens?page=4"",""250 000CFA"",""Chiots Berger Belge"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-4206429"""
"1752751755-584,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Berger Allemand"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4206427"""
"1752751755-585,""https://sn.coinafrique.com/categorie/chiens?page=4"",""150 000CFA"",""Chiots Caniches"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiots-caniches-4206419"""
"1752751755-586,""https://sn.coinafrique.com/categorie/chiens?page=4"",""600 000CFA"",""Chiot  Allemand"",""Dakar, Sénégal"",""favorite_border2années"",""https://sn.coinafrique.com/annonce/chiens/chiot-allemand-4204043"""
"1752751762-587,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Bichons maltin pure race"",""HLM, Dakar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/bichons-maltin-pure-race-4865327"""
"1752751762-588,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Chiots berger allemand"",""Keur Massar, Sénégal"",""favorite_border11mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4858734"""
"1752751762-589,""https://sn.coinafrique.com/categorie/chiens?page=3"",""650 000CFA"",""Chiots Golden retriever"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-golden-retriever-4853861"""
"1752751762-590,""https://sn.coinafrique.com/categorie/chiens?page=3"",""550 000CFA"",""Chiot Chiwawa"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-chiwawa-4853647"""
"1752751762-591,""https://sn.coinafrique.com/categorie/chiens?page=3"",""200 000CFA"",""Chiot Husky"",""Mbour, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-4852383"""
"1752751762-592,""https://sn.coinafrique.com/categorie/chiens?page=3"",""Prix sur demande"",""Chiot Cane Corso"",""Mariste, Dakar, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-4851447"""
"1752751762-593,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiot Belgian Malinois charbonne"",""Yoff, Dakar, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiot-belgian-malinois-charbonne-4850412"""
"1752751762-594,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiots Rottweiler"",""Mariste, Dakar, Sénégal"",""favorite_border12mois"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-4848898"""
"1752751762-595,""https://sn.coinafrique.com/categorie/chiens?page=3"",""800 000CFA"",""Chiots spitz nain"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-4845887"""
"1752751762-596,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Berger allemand"",""Diamniadio, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-4845561"""
"1752751762-597,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Berger Allemand"",""Cambérène, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-4840125"""
"1752751762-598,""https://sn.coinafrique.com/categorie/chiens?page=3"",""350 000CFA"",""Chiots Berger Allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4837526"""
"1752751762-599,""https://sn.coinafrique.com/categorie/chiens?page=3"",""150 000CFA"",""Berger Allemand poil long"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-poil-long-4834152"""
"1752751762-600,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiens de race"",""HLM, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829755"""
"1752751762-601,""https://sn.coinafrique.com/categorie/chiens?page=3"",""500 000CFA"",""Chiens de race"",""HLM, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829728"""
"1752751762-602,""https://sn.coinafrique.com/categorie/chiens?page=3"",""300 000CFA"",""Chiots Malinois"",""Thies, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4828053"""
"1752751762-603,""https://sn.coinafrique.com/categorie/chiens?page=3"",""160 000CFA"",""Chiots Berger Allemand"",""Cambérène, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4817314"""
"1752751762-604,""https://sn.coinafrique.com/categorie/chiens?page=3"",""250 000CFA"",""Chiot Husky pur sang"",""Ouest Foire, Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-pur-sang-4814513"""
"1752751762-605,""https://sn.coinafrique.com/categorie/chiens?page=3"",""Prix sur demande"",""Chiots dog canaries"",""Keur Massar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiots-dog-canaries-4808208"""
"1752751762-606,""https://sn.coinafrique.com/categorie/chiens?page=3"",""275CFA"",""Chiot Malinois 4 mois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4-mois-4807147"""
"1752751762-607,""https://sn.coinafrique.com/categorie/chiens?page=3"",""77 963 888CFA"",""Chien Malinois"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-4806294"""
"1752751762-608,""https://sn.coinafrique.com/categorie/chiens?page=3"",""779 638 883CFA"",""Bichon Maltais"",""Dakar, Sénégal"",""favorite_border1année"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4806292"""
